pointid,grid_code
746,0.0000076
747,0.0000076
748,0.0000038
749,0.0000019
750,67.9746017
751,33.5513000
752,16.1056004
753,7.7879200
754,3.7978001
755,1.8637201
756,0.9187160
757,0.4544660
758,0.2252660
759,0.1118660
760,0.0556161
761,0.0277161
762,0.0137661
763,0.0069050
764,0.0034550
765,0.0016550
766,0.0009050
767,0.0004550
768,0.0001550
769,0.0001550
770,0.0000050
771,0.0000269
772,0.0000134
773,0.0000067
774,0.0000067
775,0.0000034
776,0.0000017
777,66.6399994
778,26.5191002
779,12.3733997
780,5.9865899
781,2.9393799
782,1.4543700
783,0.7229660
784,0.3604160
785,0.1799660
786,0.0899661
787,0.0451161
788,0.0226161
789,0.0113661
790,0.0057050
791,0.0028550
792,0.0013550
793,0.0007550
794,0.0003050
795,0.0001550
796,0.0001550
797,0.0000050
798,0.0000227
799,0.0000114
800,0.0000057
801,0.0000057
802,0.0000029
803,0.0000016
804,11.3470001
805,6.5548201
806,3.5159900
807,1.8412000
808,0.9532160
809,0.4903160
810,0.2510660
811,0.1282160
812,0.0652161
813,0.0331161
814,0.0169161
815,0.0085161
816,0.0043550
817,0.0022550
818,0.0010550
819,0.0006050
820,0.0003050
821,0.0001550
822,0.0000050
823,0.0000050
824,0.0000183
825,0.0000092
826,0.0000046
827,0.0000046
828,0.0000023
829,2.1187501
830,2.1076100
831,1.4568599
832,0.8833940
833,0.5038160
834,0.2776160
835,0.1498160
836,0.0797661
837,0.0419661
838,0.0218661
839,0.0113661
840,0.0059661
841,0.0030050
842,0.0015050
843,0.0007550
844,0.0004550
845,0.0001550
846,0.0001550
847,0.0000050
848,0.0000050
849,0.0000141
850,0.0000071
851,0.0000036
852,0.0000036
853,0.0000018
854,0.1767310
855,0.3917930
856,0.4072160
857,0.3133110
858,0.2086160
859,0.1283660
860,0.0751161
861,0.0425661
862,0.0235161
863,0.0128661
864,0.0068661
865,0.0037161
866,0.0019550
867,0.0010550
868,0.0006050
869,0.0003050
870,0.0001550
871,0.0000050
872,0.0000050
873,0.0000050
874,0.0000102
875,0.0000052
876,0.0000027
877,0.0000027
878,0.0081889
879,0.0425822
880,0.0755810
881,0.0806079
882,0.0665661
883,0.0476661
884,0.0311661
885,0.0193161
886,0.0115161
887,0.0065661
888,0.0037161
889,0.0020661
890,0.0012050
891,0.0006050
892,0.0003050
893,0.0001550
894,0.0001550
895,0.0000050
896,0.0000050
897,0.0000050
898,0.0000070
899,0.0000036
900,0.0000019
901,0.0000019
902,0.0029103
903,0.0093927
904,0.0149602
905,0.0161661
906,0.0140661
907,0.0106161
908,0.0073161
909,0.0047661
910,0.0029661
911,0.0017661
912,0.0010161
913,0.0006050
914,0.0003050
915,0.0001550
916,0.0001550
917,0.0000050
918,0.0000050
919,0.0000050
920,0.0000050
921,0.0000045
922,0.0000024
923,0.0001408
924,0.0008068
925,0.0020148
926,0.0029661
927,0.0032661
928,0.0029661
929,0.0023661
930,0.0017661
931,0.0011661
932,0.0007161
933,0.0004161
934,0.0003050
935,0.0001550
936,0.0001550
937,0.0000050
938,0.0000050
939,0.0000050
940,0.0000050
941,0.0000050
942,0.0000027
943,0.0000502
944,0.0002001
945,0.0004279
946,0.0005661
947,0.0007161
948,0.0005661
949,0.0005661
950,0.0004161
951,0.0002661
952,0.0001161
953,0.0001161
954,0.0000719
955,0.0000435
956,0.0000258
957,0.0000150
958,0.0000086
959,0.0000049
960,0.0000027
961,0.0000150
962,0.0000470
963,0.0000906
964,0.0001261
965,0.0001404
966,0.0001334
967,0.0001129
968,0.0000876
969,0.0000634
970,0.0000435
971,0.0000287
972,0.0000183
973,0.0000114
974,0.0000069
975,0.0000041
976,0.0000024
977,0.0000107
978,0.0000192
979,0.0000261
980,0.0000292
981,0.0000283
982,0.0000246
983,0.0000196
984,0.0000146
985,0.0000103
986,0.0000070
987,0.0000046
988,0.0000029
989,0.0000018
990,0.0000041
991,0.0000054
992,0.0000061
993,0.0000060
994,0.0000053
995,0.0000043
996,0.0000033
997,0.0000024
998,0.0000012
999,0.0000026
1000,0.0000059
1001,0.0000091
1002,0.0000018
1003,0.0000021
1004,0.0000022
1005,0.0000019
1006,0.0000016
1007,0.0000012
1008,0.0000018
1009,0.0000109
1010,0.0000285
1011,0.0000463
1012,0.0000559
1013,0.0000109
1014,0.0000109
1015,0.0000096
1016,0.0000077
1017,0.0000057
1018,0.0000040
1019,0.0000027
1020,0.0000017
1021,0.0000011
1022,0.0000038
1023,0.0000419
1024,0.0001362
1025,0.0002376
1026,0.0002898
1027,0.0002835
1028,0.0000554
1029,0.0000510
1030,0.0000405
1031,0.0000309
1032,0.0000233
1033,0.0000152
1034,0.0000108
1035,0.0000065
1036,0.0000048
1037,0.0000015
1038,0.0000031
1039,0.0001337
1040,0.0006331
1041,0.0012274
1042,0.0015163
1043,0.0014577
1044,0.0011856
1045,0.0002776
1046,0.0002263
1047,0.0001723
1048,0.0001122
1049,0.0000805
1050,0.0000521
1051,0.0000394
1052,0.0000216
1053,0.0000129
1054,0.0000075
1055,0.0000039
1056,0.0000021
1057,0.0000013
1058,0.0002667
1059,0.0027609
1060,0.0063808
1061,0.0081260
1062,0.0075258
1063,0.0060965
1064,0.0042839
1065,0.0012934
1066,0.0008945
1067,0.0006863
1068,0.0003948
1069,0.0003046
1070,0.0000996
1071,0.0000673
1072,0.0000489
1073,0.0000385
1074,0.0000217
1075,0.0000110
1076,0.0000093
1077,0.0000034
1078,0.0000025
1079,0.0000823
1080,0.0101783
1081,0.0333807
1082,0.0440688
1083,0.0413784
1084,0.0310854
1085,0.0242965
1086,0.0158964
1087,0.0056455
1088,0.0038304
1089,0.0031849
1090,0.0017419
1091,0.0009122
1092,0.0004819
1093,0.0004097
1094,0.0002205
1095,0.0000495
1096,0.0000562
1097,0.0000278
1098,0.0000248
1099,0.0000111
1100,0.0000047
1101,0.0000022
1102,0.0187829
1103,0.1746590
1104,0.2498280
1105,0.2518290
1106,0.1850530
1107,0.1323440
1108,0.0961937
1109,0.0568937
1110,0.0210437
1111,0.0123900
1112,0.0107400
1113,0.0056400
1114,0.0026400
1115,0.0013788
1116,0.0012288
1117,0.0006289
1118,0.0003289
1119,0.0001574
1120,0.0000074
1121,0.0000074
1122,0.0000074
1123,0.0000061
1124,0.0000048
1125,0.0000021
1126,0.0000021
1127,0.8665060
1128,1.3886000
1129,1.0429300
1130,0.6492180
1131,0.4111010
1132,0.2422070
1133,0.1501940
1134,0.1003940
1135,0.0568937
1136,0.0219437
1137,0.0125400
1138,0.0107400
1139,0.0054900
1140,0.0026400
1141,0.0013788
1142,0.0012288
1143,0.0004789
1144,0.0003289
1145,0.0001574
1146,0.0000074
1147,0.0000074
1148,0.0000074
1149,0.0000067
1150,0.0000048
1151,0.0000021
1152,0.0000021
1153,8.9203501
1154,5.4019699
1155,2.8586700
1156,2.1067801
1157,1.4723700
1158,0.7372610
1159,0.5545940
1160,0.3142940
1161,0.1593440
1162,0.0667937
1163,0.0318900
1164,0.0285900
1165,0.0137400
1166,0.0063900
1167,0.0028789
1168,0.0025788
1169,0.0013788
1170,0.0006289
1171,0.0003074
1172,0.0001574
1173,0.0001574
1174,0.0000074
1175,0.0000061
1176,0.0000048
1177,0.0000042
1178,0.0000042
1179,0.0000018
1180,72.0000000
1181,25.8370991
1182,11.3768997
1183,5.2411799
1184,9.8184500
1185,4.6514802
1186,2.0396199
1187,1.7509900
1188,0.7687940
1189,0.3565940
1190,0.1516940
1191,0.0659400
1192,0.0606900
1193,0.0276900
1194,0.0123900
1195,0.0055788
1196,0.0052788
1197,0.0024288
1198,0.0010789
1199,0.0004574
1200,0.0001574
1201,0.0001574
1202,0.0001574
1203,0.0000065
1204,0.0000048
1205,0.0000073
1206,0.0000073
1207,0.0000032
1208,0.0000016
1209,72.0000000
1210,33.8908997
1211,15.3902998
1212,64.3106995
1213,23.0447998
1214,8.9498901
1215,3.6722701
1216,3.2929900
1217,1.4202400
1218,0.6219440
1219,0.2620940
1220,0.1116900
1221,0.1044900
1222,0.0461400
1223,0.0207900
1224,0.0091788
1225,0.0087288
1226,0.0037788
1227,0.0018289
1228,0.0007574
1229,0.0003074
1230,0.0003074
1231,0.0001574
1232,0.0000069
1233,0.0000058
1234,0.0000117
1235,0.0000117
1236,0.0000053
1237,0.0000023
1238,0.0000012
1239,72.0000000
1240,34.7386017
1241,16.6042004
1242,58.8264999
1243,26.3176994
1244,11.1695995
1245,4.9235401
1246,4.4874401
1247,1.9599400
1248,0.8455940
1249,0.3523940
1250,0.1578900
1251,0.1487400
1252,0.0662400
1253,0.0293400
1254,0.0127789
1255,0.0123289
1256,0.0052788
1257,0.0024288
1258,0.0010574
1259,0.0004574
1260,0.0004574
1261,0.0001574
1262,0.0001573
1263,0.0000060
1264,0.0000175
1265,0.0000175
1266,0.0000079
1267,0.0000035
1268,0.0000016
1269,72.0000000
1270,106.7570038
1271,88.7686996
1272,50.5533981
1273,24.1103001
1274,11.4399004
1275,5.2239499
1276,4.7622800
1277,2.1164300
1278,0.9335310
1279,0.4223310
1280,0.1907410
1281,0.1802410
1282,0.0801911
1283,0.0350411
1284,0.0156299
1285,0.0150299
1286,0.0069299
1287,0.0031799
1288,0.0013574
1289,0.0006074
1290,0.0006074
1291,0.0003074
1292,0.0001577
1293,0.0000062
1294,0.0000048
1295,0.0000048
1296,0.0000105
1297,0.0000046
1298,0.0000022
1299,72.0000000
1300,106.7570038
1301,88.7786026
1302,44.4135017
1303,21.6257000
1304,10.3499002
1305,4.8056002
1306,4.3359799
1307,2.0036299
1308,0.9498810
1309,0.4389810
1310,0.1986910
1311,0.1872910
1312,0.0828911
1313,0.0386411
1314,0.0177299
1315,0.0171299
1316,0.0078299
1317,0.0034799
1318,0.0015074
1319,0.0006074
1320,0.0006074
1321,0.0003074
1322,0.0001580
1323,0.0000063
1324,0.0000048
1325,0.0000048
1326,0.0000128
1327,0.0000059
1328,0.0000027
1329,0.0000014
1330,0.0000014
1331,72.0000000
1332,106.7570038
1333,88.7788010
1334,44.4160995
1335,21.6313992
1336,10.3566999
1337,4.8115201
1338,4.3402600
1339,2.0064099
1340,0.9516070
1341,0.4411570
1342,0.1998170
1343,0.1879670
1344,0.0831173
1345,0.0387173
1346,0.0177339
1347,0.0171339
1348,0.0078339
1349,0.0034839
1350,0.0015114
1351,0.0006114
1352,0.0006114
1353,0.0003114
1354,0.0001582
1355,0.0000064
1356,0.0000048
1357,0.0000048
1358,0.0000128
1359,0.0000059
1360,0.0000027
1361,0.0000014
1362,0.0000014
1363,72.0000000
1364,99.2919006
1365,81.3134003
1366,39.5139008
1367,18.9442997
1368,8.9176702
1369,4.2871900
1370,3.8158600
1371,1.8466600
1372,0.8779570
1373,0.4084570
1374,0.1869170
1375,0.1746170
