pointid,grid_code
917,0.3049680
918,0.1801770
919,0.1066770
920,0.0633275
921,0.0376775
922,0.0223775
923,0.0133775
924,0.0079775
925,0.0048275
926,0.0028795
927,0.0016795
928,0.0010795
929,0.0006295
930,0.0003295
931,0.0001795
932,0.0001795
933,0.0000295
934,0.0000470
935,0.0000282
936,0.0000169
937,0.0000101
938,0.0000061
939,0.0000037
940,0.0000022
941,0.0000013
942,7.1999998
943,4.1514001
944,2.3216300
945,1.3244600
946,0.7664580
947,0.4476880
948,0.2631540
949,0.1554270
950,0.0921275
951,0.0546275
952,0.0325775
953,0.0193775
954,0.0115775
955,0.0069275
956,0.0040775
957,0.0024295
958,0.0015295
959,0.0009295
960,0.0004795
961,0.0003295
962,0.0001795
963,0.0001795
964,0.0000295
965,0.0000416
966,0.0000250
967,0.0000150
968,0.0000090
969,0.0000054
970,0.0000033
971,0.0000020
972,0.0000012
973,7.1999998
974,3.1043701
975,1.7194500
976,0.9943950
977,0.5842560
978,0.3460080
979,0.2058660
980,0.1228770
981,0.0735275
982,0.0439775
983,0.0264275
984,0.0157775
985,0.0094775
986,0.0057275
987,0.0034775
988,0.0021295
989,0.0012295
990,0.0007795
991,0.0004795
992,0.0003295
993,0.0001795
994,0.0000295
995,0.0000295
996,0.0000356
997,0.0000215
998,0.0000129
999,0.0000078
1000,0.0000047
1001,0.0000028
1002,0.0000017
1003,0.0000010
1004,1.2413501
1005,0.9035050
1006,0.5887510
1007,0.3712880
1008,0.2307320
1009,0.1422390
1010,0.0873275
1011,0.0532775
1012,0.0325775
1013,0.0198275
1014,0.0120275
1015,0.0073775
1016,0.0043775
1017,0.0027275
1018,0.0016795
1019,0.0009295
1020,0.0006295
1021,0.0003295
1022,0.0001795
1023,0.0001795
1024,0.0000295
1025,0.0000295
1026,0.0000295
1027,0.0000179
1028,0.0000108
1029,0.0000065
1030,0.0000039
1031,0.0000024
1032,0.0000014
1033,0.1943180
1034,0.3013340
1035,0.2586860
1036,0.1890860
1037,0.1290520
1038,0.0849504
1039,0.0547775
1040,0.0348275
1041,0.0219275
1042,0.0136775
1043,0.0084275
1044,0.0052775
1045,0.0031775
1046,0.0019775
1047,0.0012295
1048,0.0007795
1049,0.0004795
1050,0.0003295
1051,0.0001795
1052,0.0000295
1053,0.0000295
1054,0.0000295
1055,0.0000236
1056,0.0000143
1057,0.0000087
1058,0.0000053
1059,0.0000032
1060,0.0000020
1061,0.0000012
1062,0.0100924
1063,0.0594462
1064,0.0808953
1065,0.0749944
1066,0.0592716
1067,0.0431361
1068,0.0298775
1069,0.0201275
1070,0.0132275
1071,0.0085775
1072,0.0054275
1073,0.0034775
1074,0.0021275
1075,0.0013775
1076,0.0009295
1077,0.0004795
1078,0.0003295
1079,0.0001795
1080,0.0001795
1081,0.0000295
1082,0.0000295
1083,0.0000295
1084,0.0000181
1085,0.0000111
1086,0.0000068
1087,0.0000041
1088,0.0000025
1089,0.0000015
1090,0.0001608
1091,0.0066556
1092,0.0175225
1093,0.0227118
1094,0.0220158
1095,0.0183955
1096,0.0140949
1097,0.0102198
1098,0.0071377
1099,0.0048539
1100,0.0032364
1101,0.0021258
1102,0.0013800
1103,0.0008876
1104,0.0005666
1105,0.0003594
1106,0.0002268
1107,0.0001425
1108,0.0000892
1109,0.0000557
1110,0.0000346
1111,0.0000215
1112,0.0000133
1113,0.0000082
1114,0.0000051
1115,0.0000031
1116,0.0000019
1117,0.0000012
1118,0.0004127
1119,0.0025835
1120,0.0051819
1121,0.0065423
1122,0.0065294
1123,0.0056862
1124,0.0045421
1125,0.0034225
1126,0.0024745
1127,0.0017354
1128,0.0011893
1129,0.0008005
1130,0.0005312
1131,0.0003484
1132,0.0002264
1133,0.0001460
1134,0.0000935
1135,0.0000595
1136,0.0000377
1137,0.0000238
1138,0.0000150
1139,0.0000094
1140,0.0000059
1141,0.0000037
1142,0.0000023
1143,0.0000014
1144,0.0000140
1145,0.0002563
1146,0.0008825
1147,0.0015434
1148,0.0019163
1149,0.0019523
1150,0.0017553
1151,0.0014508
1152,0.0011299
1153,0.0008425
1154,0.0006077
1155,0.0004273
1156,0.0002944
1157,0.0001996
1158,0.0001335
1159,0.0000883
1160,0.0000578
1161,0.0000376
1162,0.0000243
1163,0.0000156
1164,0.0000099
1165,0.0000063
1166,0.0000040
1167,0.0000025
1168,0.0000016
1169,0.0000170
1170,0.0001115
1171,0.0002875
1172,0.0004628
1173,0.0005680
1174,0.0005875
1175,0.0005418
1176,0.0004607
1177,0.0003692
1178,0.0002829
1179,0.0002094
1180,0.0001508
1181,0.0001062
1182,0.0000735
1183,0.0000501
1184,0.0000337
1185,0.0000224
1186,0.0000148
1187,0.0000097
1188,0.0000063
1189,0.0000041
1190,0.0000026
1191,0.0000017
1192,0.0000011
1193,0.0000104
1194,0.0000421
1195,0.0000916
1196,0.0001396
1197,0.0001698
1198,0.0001778
1199,0.0001673
1200,0.0001457
1201,0.0001197
1202,0.0000940
1203,0.0000712
1204,0.0000524
1205,0.0000377
1206,0.0000266
1207,0.0000184
1208,0.0000126
1209,0.0000085
1210,0.0000057
1211,0.0000038
1212,0.0000025
1213,0.0000016
1214,0.0000011
1215,0.0000048
1216,0.0000148
1217,0.0000289
1218,0.0000423
1219,0.0000511
1220,0.0000540
1221,0.0000517
1222,0.0000460
